Designator,Footprint,Quantity,Value,LCSC Part #
BT1,501010,1,Battery,
"C1, C2, C3, C4, C7, C8",0402,6,C,
C5,0805,1,C,
C6,0402,1,CSTOR,
D1,0603,1,LED,
"J1, J3, J5, J6",JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,4,Conn_01x04_Socket,
"J2, J7",JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,2,Conn_01x02_Pin,
J4,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
J8,PinHeader_1x06_P1.00mm_Vertical_SMD_Pin1Left,1,Conn_01x06_Socket,
L1,L1210,1,10uH,
L2,L1210,1,22uH,
R1,01005,1,100,
"R2, R5, R6, R7, ROK1, ROK2, ROK3, ROUT1, ROUT2, ROV2",01005,10,R,
"R3, R4, R9",01005,3,10k,
R8,01005,1,330,
SW1,SW-SMD_L3.9-W3.0-P4.45,1,TS-1088-AR02016,C720477
SW2,SW-SMD_SSSS811101,1,SSSS811101,C109335
U1,WIRELM-SMD_32P-L15.5-W15.0-P1.00,1,RAK3172-8-SM-I,C19723904
U2,QFN-20-1EP_3.5x3.5mm_P0.5mm_EP2x2mm,1,BQ25570,
U3,SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,1,FM24V10-GTR_C466851,C466851
