Designator,Mid X,Mid Y,Rotation,Layer
BT1,102.06,-81.96,90.0,top
C1,116.37,-78.82,270.0,top
C2,118.61,-83.04,180.0,top
C3,137.28,-90.74,90.0,top
C4,126.77,-95.55125,270.0,top
C5,125.15,-96.22,270.0,top
C6,128.91,-90.00625,90.0,top
C7,127.95,-90.00375,90.0,top
C8,112.82,-65.785,270.0,bottom
D1,113.19,-69.79,270.0,top
J1,119.06,-61.19,270.0,top
J2,111.71,-81.89,270.0,top
J3,142.25,-75.14,0.0,top
J4,119.75,-87.41,270.0,top
J5,142.24,-69.56,0.0,top
J6,142.2,-63.93,0.0,top
J7,114.3,-93.96,270.0,top
J8,124.16,-72.125,270.0,bottom
L1,133.86375,-90.17,0.0,top
L2,124.71,-91.66375,90.0,top
R1,115.16,-76.7875,270.0,top
R2,127.74,-84.65,180.0,top
R3,134.76,-70.17,90.0,top
R4,116.49,-76.5,270.0,top
R5,127.75,-85.34,0.0,top
R6,126.0775,-85.32,0.0,top
R7,126.0675,-84.63,180.0,top
R8,116.12,-71.31,180.0,top
R9,134.09,-70.1825,90.0,top
ROK1,130.51375,-97.3925,90.0,top
ROK2,131.83375,-97.3875,270.0,top
ROK3,131.17375,-97.3875,270.0,top
ROUT1,132.97375,-94.4,0.0,top
ROUT2,132.97125,-93.74,0.0,top
ROV1,129.81375,-97.395,270.0,top
ROV2,129.15375,-97.3925,270.0,top
SW1,105.07,-64.29,0.0,top
SW2,104.97,-71.2,270.0,top
U1,125.33,-74.59,180.0,top
U2,129.68125,-93.7,90.0,top
U3,108.58,-64.515,0.0,bottom
